turbidity,tds,temp,ph,inFlowLpm,outFlowLpm,label
3.45,458.7,42.0,5.6,0.679,0.414,med
4.06,422.8,31.0,7.45,1.2,0.635,med
3.87,453.6,28.2,5.98,0.556,0.649,med
0.24,40.6,23.8,7.18,1.012,0.864,min
0.59,58.3,28.0,6.5,1.097,0.816,min
0.49,95.0,19.6,6.66,1.183,0.878,min
0.61,106.0,23.6,7.16,0.965,0.47,min
2.52,600.0,31.5,7.68,0.935,0.653,med
4.16,412.4,25.3,9.09,0.441,0.942,med
3.53,457.0,24.0,7.34,0.387,0.731,med
1.29,330.3,22.9,7.49,0.855,0.439,max
0.05,46.2,21.8,7.05,0.794,0.895,min
0.05,10.0,21.1,7.46,1.054,0.94,min
1.5,160.7,22.7,7.75,0.853,0.989,min
4.24,389.3,25.1,5.97,0.8,0.309,med
7.68,498.9,35.8,4.6,0.539,0.572,max
1.45,141.4,21.3,6.76,1.2,1.13,min
14.45,735.7,44.9,10.33,0.05,0.577,max
2.81,181.0,28.5,8.06,0.481,0.525,med
1.07,89.1,21.1,8.01,0.954,0.808,min
0.22,140.0,20.3,7.3,0.896,0.826,min
3.92,280.0,34.6,8.13,0.921,0.659,min
0.14,10.0,20.9,7.25,0.843,0.66,med
0.21,164.0,21.9,7.4,0.827,0.701,min
14.22,541.0,30.5,9.39,0.831,0.762,max
0.28,133.2,16.7,7.89,0.857,0.893,min
8.15,800.4,40.1,9.29,0.304,0.517,max
0.39,13.5,15.4,7.09,1.065,1.144,min
4.0,540.8,32.7,7.07,0.214,0.655,max
0.34,147.8,25.0,7.03,1.021,1.034,min
4.38,402.5,24.5,5.5,1.2,0.622,med
0.72,57.9,26.7,6.77,1.002,1.029,min
4.0,577.8,45.7,7.69,0.57,0.565,med
5.77,350.0,44.1,6.7,0.05,0.249,max
5.28,412.5,35.9,6.8,0.288,0.736,med
3.32,291.2,34.3,6.48,0.692,0.751,med
4.81,1053.5,26.6,6.43,0.05,0.718,max
6.56,801.8,52.3,3.0,0.597,0.339,max
7.27,665.9,40.4,4.08,0.271,0.364,max
4.48,442.3,27.2,7.61,0.749,0.366,med
6.52,460.3,43.0,3.91,0.751,0.519,max
5.68,604.4,22.1,6.93,0.484,0.716,max
0.18,88.8,20.3,6.87,0.888,0.901,min
0.17,10.0,20.7,7.26,0.951,1.131,min
0.25,31.3,22.1,7.32,0.959,0.857,min
7.0,487.3,36.5,6.7,0.575,0.05,max
5.76,504.7,36.0,4.49,0.653,0.42,max
5.06,731.4,30.7,4.82,0.363,0.179,max
2.61,315.0,21.5,7.49,0.801,0.587,med
2.68,443.4,30.8,7.04,0.52,0.554,med
4.06,807.1,41.6,8.8,0.179,0.587,max
10.76,350.0,45.4,5.35,0.583,0.308,max
3.94,279.4,36.7,5.88,0.752,0.699,med
3.38,373.2,21.8,6.44,0.576,0.819,med
1.28,135.1,25.1,7.49,1.147,1.019,min
3.58,501.5,33.6,6.92,1.049,0.536,med
0.52,88.5,22.5,7.64,0.954,0.86,min
0.47,102.3,24.4,7.19,0.814,0.811,min
1.48,221.0,21.7,7.68,0.443,0.584,min
4.42,310.5,38.9,7.19,0.636,0.542,med
2.56,391.7,38.7,8.83,0.585,0.701,med
9.57,599.9,41.7,6.9,0.351,0.309,max
7.33,632.5,33.6,6.73,0.05,0.05,max
13.26,661.7,29.9,6.0,0.243,0.562,max
0.08,10.0,20.2,7.82,0.783,0.802,min
1.18,600.0,29.6,7.11,0.48,0.702,med
12.13,725.7,51.7,9.74,0.414,0.653,max
4.29,244.6,20.3,6.93,0.519,0.808,med
9.19,611.3,37.3,3.81,0.28,0.34,max
7.55,639.8,45.7,4.5,0.26,0.685,max
1.14,397.4,30.2,8.16,0.736,0.381,med
0.62,27.6,23.0,8.15,1.052,0.784,min
0.1,32.4,27.6,7.69,0.868,1.074,min
0.25,88.4,26.3,7.3,0.89,0.822,min
0.49,250.0,25.1,6.87,0.946,0.655,min
4.23,600.0,33.3,6.91,0.701,0.545,med
0.37,165.1,27.9,7.05,0.864,0.566,min
3.81,274.1,31.5,7.72,0.807,0.855,med
1.0,150.0,32.4,6.43,0.787,0.673,max
9.17,608.0,43.4,6.94,0.738,0.352,max
9.66,807.2,51.7,7.69,0.463,0.703,max
1.88,407.9,24.0,7.97,0.655,0.438,med
10.07,747.2,36.2,8.85,0.123,0.423,max
2.9,368.9,28.0,5.93,0.448,0.449,med
3.35,202.1,30.2,7.28,0.789,0.706,min
0.87,98.5,21.6,7.65,1.14,1.079,min
0.46,59.9,26.8,7.58,0.765,0.68,min
0.31,51.9,24.8,7.04,0.939,0.814,min
8.45,853.9,41.9,9.45,0.825,0.093,max
9.35,759.4,35.7,9.37,0.05,0.05,max
7.38,564.7,41.4,6.87,0.494,0.387,max
0.8,178.0,28.3,7.91,0.826,0.647,min
0.82,87.7,21.3,7.35,1.135,0.84,min
0.17,130.3,22.7,7.89,0.563,0.879,min
0.17,10.0,22.9,6.84,0.76,0.75,min
7.41,808.0,33.2,5.18,0.388,0.711,max
7.0,574.9,28.8,6.39,0.723,0.699,med
11.09,824.9,35.9,10.67,0.796,0.384,max
0.26,73.5,23.1,7.29,0.711,0.758,min
0.47,10.0,20.9,7.29,0.883,0.817,min
3.2,467.6,29.8,8.15,0.768,0.39,med
4.38,350.8,31.3,6.19,1.012,0.849,med
4.03,515.1,26.7,6.59,0.807,0.294,med
4.0,882.5,38.6,9.56,0.532,0.405,max
1.5,98.9,19.9,7.1,0.894,0.83,min
0.74,133.3,25.2,6.78,0.975,0.899,min
0.64,10.0,21.5,7.84,0.714,0.681,min
0.59,21.3,20.8,6.85,0.95,0.65,min
10.3,868.6,37.8,9.09,0.49,0.325,max
0.2,10.0,27.0,7.83,0.77,0.86,min
0.96,86.0,22.4,6.5,1.2,0.959,min
0.13,36.6,22.0,6.85,0.798,0.982,min
5.77,865.4,28.1,8.8,0.365,0.427,max
0.14,35.3,21.0,7.86,0.792,0.762,min
2.55,518.7,30.7,5.5,0.55,0.293,med
5.83,1053.7,33.1,6.99,0.286,0.474,max
2.43,360.2,26.6,6.73,0.97,0.958,med
7.0,452.7,17.9,6.29,0.863,0.885,med
0.17,120.8,26.5,7.02,0.835,0.892,min
2.3,404.7,25.6,7.75,0.997,0.129,med
0.33,56.9,21.5,7.81,0.951,0.65,min
0.06,232.5,23.7,6.91,0.812,0.885,min
6.22,350.0,39.6,5.39,0.461,1.122,max
0.31,10.0,27.2,7.43,0.989,0.978,min
3.22,331.3,26.7,6.37,0.743,0.663,med
6.54,825.6,34.9,3.63,0.436,0.308,max
4.47,308.9,34.5,6.0,0.45,1.035,med
6.07,860.8,30.0,7.16,0.188,0.138,max
2.7,324.4,40.2,6.58,0.492,0.767,med
1.73,365.9,41.3,5.5,0.672,0.745,med
9.63,947.9,24.8,7.37,0.892,0.106,max
3.46,449.5,22.9,6.05,0.647,0.552,med
3.94,397.3,31.6,6.05,0.456,0.729,med
0.23,40.8,27.1,8.04,0.894,1.15,min
12.75,659.1,32.6,6.57,0.389,0.146,max
6.99,792.9,35.0,4.78,0.574,0.676,max
4.0,716.2,32.9,9.86,0.864,0.721,max
6.42,480.5,37.8,7.19,0.976,0.256,max
0.52,143.3,22.9,7.51,0.907,0.574,min
0.36,45.6,27.4,7.75,0.806,0.909,min
4.0,491.8,30.5,6.42,0.248,0.703,max
8.4,361.6,32.3,6.94,0.068,0.494,max
7.9,737.3,39.2,5.8,0.781,0.648,max
4.2,1015.0,38.2,7.44,0.583,0.508,max
6.99,968.1,29.4,6.77,0.05,0.53,max
3.37,355.0,20.9,6.93,1.014,0.566,med
3.01,474.2,21.5,6.99,0.867,0.849,med
9.44,350.0,30.5,5.47,0.202,0.696,max
2.87,333.8,27.9,6.65,0.747,0.88,med
3.96,505.5,31.5,5.99,0.355,0.712,med
0.07,165.4,24.9,7.46,0.782,0.703,min
8.14,772.6,37.9,7.2,0.626,0.191,max
11.16,350.0,37.9,7.1,0.7,0.491,max
4.3,791.4,48.8,8.8,0.633,0.224,max
3.08,274.3,22.8,7.69,0.659,0.573,med
0.05,114.9,25.7,7.56,1.013,0.819,min
7.0,286.7,31.7,8.94,0.858,0.59,med
2.17,150.0,16.2,5.53,0.972,0.653,med
12.82,604.9,33.1,4.59,0.574,0.285,max
0.6,50.2,22.5,7.05,0.724,0.969,min
2.24,192.8,25.7,7.75,1.065,0.733,med
2.92,538.3,23.5,7.22,0.854,0.648,med
0.19,30.3,22.8,6.53,0.929,0.845,min
0.29,10.0,18.8,7.56,0.639,0.82,min
0.73,122.9,26.2,7.67,1.107,0.947,min
7.47,564.1,45.5,4.87,0.763,0.352,max
0.05,59.5,24.6,7.47,0.921,0.725,min
1.0,352.3,27.7,7.65,0.714,0.623,med
5.88,389.5,27.3,6.18,1.104,0.755,med
4.43,546.5,27.0,5.87,0.687,0.205,med
6.29,592.6,40.5,7.09,0.846,0.455,max
5.81,286.8,25.4,7.82,0.375,0.407,med
3.17,272.6,29.2,7.09,0.713,0.755,med
4.97,272.8,20.6,6.81,0.688,0.468,med
0.13,104.2,19.9,6.72,0.956,0.79,min
6.07,483.3,23.6,2.89,0.261,0.227,max
8.9,474.5,35.5,9.72,0.438,0.177,max
9.01,965.8,36.8,5.04,0.276,0.587,max
0.59,78.1,25.6,7.17,0.873,1.15,min
1.92,292.9,20.8,5.5,0.904,0.391,med
13.83,559.7,55.0,7.65,0.529,0.536,max
2.17,155.6,31.1,7.25,0.571,0.855,med
1.36,233.1,29.4,6.28,1.2,0.753,med
0.39,138.0,23.2,7.01,0.961,0.686,min
3.38,359.6,28.1,7.68,0.657,0.763,med
6.57,649.4,40.4,7.04,0.704,0.05,max
4.31,732.9,29.1,10.93,0.611,0.155,max
7.36,628.1,30.2,8.11,0.742,0.587,max
0.28,101.2,22.2,7.75,1.114,1.07,min
5.13,324.6,25.2,6.26,0.689,0.634,med
0.91,91.8,22.0,6.89,0.957,1.035,min
13.55,754.9,46.9,9.72,0.656,0.051,max
7.02,899.3,41.6,9.66,0.099,0.433,max
9.52,672.6,37.5,7.09,0.077,0.571,max
1.0,258.8,38.4,5.51,0.7,0.657,med
0.11,90.7,22.3,7.09,0.826,0.79,min
0.31,71.8,16.8,7.5,0.976,0.841,min
3.28,568.8,28.5,9.34,0.77,0.607,med
10.47,845.7,44.0,4.46,0.729,0.79,max
8.32,471.4,50.1,4.9,0.529,0.364,max
5.36,497.5,39.7,5.8,0.05,0.342,max
0.05,60.7,23.3,7.6,0.94,0.831,min
2.47,226.9,27.3,8.03,0.411,0.941,med
10.29,379.8,28.2,3.14,0.709,0.171,max
9.36,602.1,38.3,5.25,1.184,0.346,max
2.33,294.7,21.0,5.5,0.844,0.695,med
4.25,382.9,28.1,8.03,0.458,0.977,med
6.42,581.0,31.7,4.77,0.05,0.596,max
12.92,512.9,36.1,9.64,0.6,0.459,max
0.23,10.0,26.8,6.89,0.941,0.913,min
7.0,366.2,24.4,5.85,0.335,0.723,med
0.87,49.3,21.4,7.54,0.904,0.927,min
4.79,565.9,55.0,4.54,0.762,0.058,max
5.26,292.9,22.3,7.17,0.433,0.518,med
8.89,620.3,18.0,4.15,0.627,0.05,max
2.49,508.7,22.8,8.42,1.025,0.26,med
6.0,684.0,31.6,7.18,0.553,0.323,max
0.15,59.5,23.6,6.7,0.926,0.908,min
14.07,489.3,33.8,9.25,0.793,0.372,med
0.1,71.4,17.9,7.49,0.866,0.641,min
2.94,282.7,25.1,5.5,0.781,0.481,med
1.36,115.5,26.2,7.28,0.931,0.686,min
9.2,611.1,36.5,9.35,0.56,0.05,max
5.64,605.3,37.8,6.33,0.349,0.211,max
2.92,512.7,27.8,6.09,0.812,0.569,min
5.23,339.6,27.7,6.08,0.388,1.021,med
4.9,184.2,38.5,5.5,0.473,0.598,med
1.74,345.0,25.6,7.69,0.833,0.87,med
0.05,23.4,24.0,7.28,1.006,0.785,min
2.82,600.0,23.8,7.74,0.812,0.728,med
1.23,61.3,22.5,7.07,0.744,0.674,min
6.35,835.2,20.2,4.45,0.822,0.907,max
0.05,162.7,17.2,6.61,0.95,0.739,min
7.06,674.4,35.7,9.57,0.767,0.081,max
0.15,110.0,29.9,6.78,0.869,0.831,min
9.22,422.3,27.9,4.7,0.565,0.155,max
3.77,464.3,21.1,7.37,0.855,0.565,med
0.16,129.2,16.8,7.07,1.147,0.904,min
5.44,578.2,21.2,8.28,0.418,0.441,med
7.76,543.7,33.0,8.8,0.949,0.406,max
0.58,153.0,21.1,6.5,1.078,1.081,min
0.06,54.4,26.1,7.55,0.729,0.973,min
7.85,432.8,41.9,3.82,0.858,0.11,max
14.14,899.9,25.2,4.74,0.234,0.641,max
0.33,10.0,26.3,7.4,0.659,0.909,min
1.28,288.8,34.6,7.18,0.594,0.811,med
4.13,251.0,31.5,6.73,0.932,0.922,med
0.55,83.9,29.6,7.23,0.4,1.036,min
7.0,464.0,22.5,7.1,0.633,0.623,med
7.79,806.9,26.4,4.85,0.542,0.167,max
4.0,551.1,38.2,6.73,0.495,0.081,max
14.75,1058.8,43.5,6.71,0.733,0.162,max
1.0,502.2,29.1,6.62,0.871,0.955,med
0.31,10.0,20.9,7.12,1.118,0.605,min
2.33,291.4,15.7,6.28,0.588,0.615,med
0.86,129.9,24.0,7.09,0.718,0.682,min
4.0,691.6,34.8,6.71,0.18,0.535,max
1.8,377.8,24.1,8.11,1.021,0.786,med
1.08,10.0,23.6,7.77,1.002,0.873,min
0.34,81.3,18.6,6.93,0.633,1.044,min
4.91,166.4,19.0,7.18,0.602,0.525,med
4.71,345.6,24.5,7.33,0.802,0.535,med
3.14,279.2,35.8,5.5,0.947,0.541,med
11.07,611.7,41.3,9.69,0.625,0.464,max
0.07,10.0,21.8,6.9,1.2,0.913,min
4.55,157.1,26.3,6.87,0.795,0.106,med
2.53,150.0,26.7,5.64,0.741,0.413,med
3.67,445.4,27.3,6.47,0.793,0.633,min
4.21,277.6,29.0,7.41,0.583,0.409,med
0.36,27.8,21.5,7.62,1.002,1.127,min
0.18,11.9,24.5,7.32,1.143,0.752,min
0.88,122.5,27.3,6.92,0.742,0.84,min
9.42,963.6,28.4,4.65,0.393,0.621,max
0.3,56.1,22.8,6.63,1.056,0.986,min
1.04,318.8,35.3,6.49,0.598,0.824,med
4.47,494.5,37.5,8.06,0.635,0.342,med
0.15,145.2,26.8,6.75,0.976,0.758,min
5.43,331.3,18.7,6.52,0.776,0.543,med
6.48,432.7,38.9,3.65,0.469,0.232,max
0.47,115.1,24.3,6.9,1.13,0.809,min
8.21,575.2,37.7,4.28,0.506,0.535,min
12.45,1006.3,46.3,4.81,0.546,0.861,max
0.61,10.0,27.4,7.17,0.624,0.984,min
0.18,117.2,22.3,7.15,0.915,0.805,min
2.85,397.1,22.4,5.79,0.949,0.795,med
9.64,853.6,19.9,10.09,0.244,0.05,max
0.05,36.9,28.1,7.98,1.028,0.948,min
4.4,350.0,44.5,4.69,0.502,0.252,max
5.27,570.1,17.4,5.77,0.539,0.556,med
0.33,32.9,21.9,7.37,0.928,0.914,min
0.32,119.6,27.4,6.73,0.933,0.685,min
2.42,280.6,23.4,6.13,0.839,0.414,med
5.84,150.0,30.8,6.48,1.051,0.959,med
3.52,182.0,37.8,6.5,0.807,0.359,med
4.05,253.5,24.0,6.76,0.539,0.81,med
0.2,10.0,19.3,7.26,0.766,0.927,min
2.37,314.5,29.2,6.6,0.493,0.493,med
4.55,510.6,22.6,6.51,1.048,0.455,med
5.66,551.8,34.0,6.59,0.505,0.614,max
0.87,68.2,18.5,7.63,0.887,0.862,min
0.13,10.0,26.4,6.67,0.866,1.01,min
0.07,70.4,28.9,7.2,1.052,1.051,min
3.59,485.5,35.6,5.61,0.537,0.629,med
1.5,90.5,25.6,6.82,0.873,0.892,min
5.11,387.7,21.3,6.66,0.59,0.661,med
4.0,622.1,34.5,6.88,0.62,0.58,max
5.78,969.4,54.1,9.7,0.412,0.13,max
5.92,457.2,36.2,6.47,0.783,0.689,med
0.78,115.8,23.5,7.73,0.749,1.021,min
1.23,415.8,27.5,5.5,0.533,0.717,med
4.64,150.0,33.4,5.5,0.354,0.55,med
7.93,1037.8,19.7,4.27,0.578,0.669,max
3.58,370.4,16.7,6.63,0.564,0.518,max
4.0,763.4,30.1,6.68,0.05,0.143,max
4.46,293.0,24.8,7.64,0.843,0.571,med
0.44,60.8,15.8,6.65,0.734,0.865,min
2.91,150.0,31.0,5.87,0.508,0.65,med
2.36,150.0,28.6,6.21,0.543,0.579,med
10.97,498.9,33.5,3.94,0.619,0.512,max
6.92,860.4,39.1,7.93,0.338,0.407,max
10.75,857.3,39.3,3.57,0.744,0.394,max
4.19,350.0,33.4,6.67,0.62,0.249,max
2.17,367.2,31.0,7.67,0.229,0.387,med
3.02,411.8,25.8,7.41,0.979,0.235,med
0.43,85.3,24.2,7.17,0.928,0.88,min
0.05,146.7,20.8,7.55,0.923,0.895,min
5.63,372.4,26.1,8.12,0.474,0.605,med
0.05,70.0,23.3,7.72,0.792,0.962,med
7.06,517.0,29.4,4.99,0.288,0.197,max
8.58,913.5,37.8,9.2,1.0,0.52,max
13.37,440.2,34.5,3.22,0.445,0.053,max
0.08,170.8,21.2,6.94,1.155,0.684,min
8.53,618.2,45.2,6.0,0.294,0.241,max
0.5,54.6,19.5,7.24,0.958,0.674,min
0.69,56.4,22.6,6.95,1.161,0.802,min
0.74,143.5,25.7,7.25,0.881,0.818,min
0.6,206.4,21.3,7.01,1.008,0.826,min
0.05,56.2,25.7,7.38,1.078,0.673,min
8.88,1200.0,39.0,4.66,0.082,0.251,max
0.21,10.0,20.9,7.67,1.06,0.657,min
5.51,836.2,34.6,6.0,0.068,0.05,max
14.57,1007.2,47.1,10.08,0.253,0.439,max
0.05,10.0,19.5,6.74,1.2,0.721,min
2.51,192.7,17.5,8.08,0.632,0.599,med
6.12,623.6,38.2,5.8,0.491,0.296,max
9.52,557.2,35.4,5.8,0.753,0.864,max
5.61,624.3,32.1,9.34,0.731,0.11,max
3.52,553.8,31.5,7.75,0.708,0.62,med
3.88,270.4,30.7,6.73,0.885,0.391,med
5.64,313.6,29.0,7.73,0.811,0.527,med
4.15,365.8,30.9,7.21,0.841,0.826,med
4.0,530.4,24.1,11.18,0.408,0.567,max
1.15,63.7,21.6,7.68,0.897,1.101,min
0.06,40.2,16.9,7.51,1.089,0.622,min
8.98,740.8,55.0,7.05,0.266,0.182,min
0.07,65.0,22.9,7.53,0.761,1.043,min
1.18,204.9,23.0,7.32,0.753,0.514,med
0.1,84.7,23.1,6.54,1.08,0.722,min
0.28,27.7,23.1,7.88,0.923,0.806,min
7.0,423.1,39.5,7.83,0.552,0.574,med
0.98,10.0,21.7,7.87,0.826,0.852,min
0.59,46.1,20.0,7.31,0.489,0.781,min
8.36,610.0,38.2,9.82,0.857,0.634,max
4.04,150.0,16.9,7.82,0.591,0.452,med
0.57,102.9,22.6,7.45,1.126,0.814,min
6.64,292.6,21.1,6.91,0.882,0.653,med
0.52,117.1,26.7,7.29,1.027,0.876,min
0.11,35.0,21.2,7.89,1.199,0.735,min
0.75,71.3,22.2,6.69,0.977,0.725,min
4.57,362.2,39.8,7.03,0.05,0.894,max
7.88,437.2,40.1,3.56,0.111,0.158,max
10.78,561.7,43.2,9.78,0.05,0.824,max
4.44,344.1,22.1,9.24,0.795,0.619,max
2.97,167.0,26.8,6.69,0.76,0.525,med
5.04,305.5,25.0,6.25,0.675,0.566,med
5.99,744.0,39.3,4.39,0.05,0.219,max
4.26,360.2,32.9,6.77,0.795,0.87,med
0.18,96.7,27.4,6.62,0.734,0.782,min
0.38,159.3,26.7,8.09,0.702,0.966,min
12.84,619.7,55.0,6.82,0.175,0.096,max
10.18,609.9,22.6,8.93,0.117,0.402,max
4.71,550.6,38.6,9.2,0.437,0.712,max
4.22,425.8,30.8,7.1,0.839,0.166,med
5.41,342.4,28.4,7.34,1.2,0.919,med
0.07,172.7,27.3,6.5,0.59,0.863,min
5.79,296.6,37.6,7.89,0.669,0.287,med
9.86,421.7,24.9,9.88,0.425,0.398,max
0.18,10.0,22.4,6.81,0.88,0.862,min
0.2,10.0,29.0,7.19,0.783,0.869,min
3.65,274.8,21.4,8.2,0.591,0.678,med
3.97,418.9,36.4,8.19,0.592,0.63,med
7.95,492.8,37.4,3.42,0.688,0.46,max
3.71,206.1,28.5,6.87,0.539,0.683,med
0.8,76.7,23.0,7.22,0.832,0.943,min
0.23,91.9,22.8,7.4,0.852,0.696,min
5.62,293.7,38.0,6.13,0.986,0.69,med
4.38,297.8,19.5,7.28,0.402,0.909,med
1.0,445.8,33.3,6.69,0.95,0.877,med
5.64,591.5,36.7,8.8,0.508,0.373,max
3.34,421.8,25.6,7.61,0.933,0.698,med
0.42,174.8,19.4,8.06,0.621,0.774,min
9.44,350.0,31.9,8.95,0.05,1.139,max
0.06,10.0,21.4,7.46,0.739,1.108,min
2.84,343.7,31.8,7.35,1.2,0.741,med
6.53,1076.7,27.1,5.32,0.485,0.721,max
5.77,331.5,24.8,7.17,0.957,0.616,min
1.75,362.3,29.5,5.93,0.837,0.57,med
0.38,49.5,23.4,7.01,0.751,0.633,min
