turbidity,tds,temp,ph,inFlowLpm,outFlowLpm,label
4.475,194,23.9,6.99,0.204,0.191,max
4.139,69,20.1,7.04,1.188,0.193,med
3.917,397,21.0,7.04,0.561,0.209,max
4.279,343,27.8,4.22,0.101,0.552,max
3.619,229,24.3,8.89,0.828,0.219,med
4.459,170,35.1,7.04,1.085,0.745,med
3.013,124,37.3,7.74,0.492,0.78,med
3.125,305,34.9,6.47,0.903,0.978,max
0.144,28,23.5,7.37,1.086,1.071,min
15.781,233,33.6,5.49,0.193,0.072,max
4.015,320,41.4,8.85,1.058,0.775,med
4.385,288,24.4,4.43,0.842,0.187,max
4.737,295,43.1,9.87,0.922,1.056,med
4.334,179,39.4,6.78,0.594,0.901,med
3.839,317,41.4,5.35,0.896,0.377,max
5.049,253,35.5,7.49,0.41,0.978,max
4.616,309,23.4,6.13,0.284,0.327,max
5.163,153,39.9,6.8,0.547,0.155,med
3.883,373,41.0,7.2,0.629,0.103,med
3.505,405,30.8,4.13,0.37,1.006,max
4.353,399,28.0,7.04,0.333,0.307,max
5.138,163,43.3,6.65,1.068,0.723,max
5.429,159,32.9,7.95,1.034,0.282,max
3.339,181,35.2,8.03,0.631,0.799,max
3.83,151,29.0,6.65,1.111,0.346,max
4.795,227,21.1,7.04,0.803,0.14,max
0.209,11,20.7,7.14,0.873,0.888,min
13.82,305,46.6,4.39,0.43,0.303,max
4.142,108,41.1,6.9,0.509,0.321,max
0.148,43,24.1,7.5,1.199,0.972,min
3.951,127,26.3,7.69,0.852,0.798,med
3.711,184,34.2,7.04,0.218,0.158,med
3.78,372,27.3,7.62,0.217,0.288,max
3.224,172,28.1,7.72,0.437,0.223,med
4.916,225,35.2,6.87,0.79,0.84,med
6.357,290,40.0,5.48,0.813,0.66,max
8.745,278,33.0,5.18,0.417,0.301,max
3.728,285,36.1,7.44,1.038,0.96,max
2.696,248,28.9,8.32,1.144,0.44,med
3.918,395,28.5,5.3,0.447,0.337,max
2.782,181,21.0,8.23,0.252,0.623,max
4.291,108,39.7,8.08,0.58,0.824,med
4.308,226,44.0,9.61,0.979,0.115,med
4.006,343,41.9,7.04,0.15,0.454,med
3.254,352,24.0,8.43,1.146,1.104,med
2.99,107,32.7,7.94,0.659,1.072,max
0.293,20,20.3,7.02,0.827,1.07,min
2.779,215,21.8,5.51,0.373,0.228,max
